id,ciudad,fecha,monto_venta
736,Bucaramanga,2025-01-13,27518099
737,Pereira,2025-01-13,22972025
738,Manizales,2025-01-13,43372338
739,Santa Marta,2025-01-13,41622673
740,Cúcuta,2025-01-13,48130344
741,Bogotá,2025-01-14,30306902
742,Medellín,2025-01-14,24918697
743,Cali,2025-01-14,22893504
744,Barranquilla,2025-01-14,15755557
745,Cartagena,2025-01-14,47316418
746,Bucaramanga,2025-01-14,11877663
747,Pereira,2025-01-14,47259946
748,Manizales,2025-01-14,9205923
749,Santa Marta,2025-01-14,44030758
750,Cúcuta,2025-01-14,9391296
751,Bogotá,2025-01-15,32106475
752,Medellín,2025-01-15,44943191
753,Cali,2025-01-15,16569268
754,Barranquilla,2025-01-15,5493267
755,Cartagena,2025-01-15,19891296
756,Bucaramanga,2025-01-15,8488712
757,Pereira,2025-01-15,35756131
758,Manizales,2025-01-15,13403014
759,Santa Marta,2025-01-15,8507863
760,Cúcuta,2025-01-15,47455097
761,Bogotá,2025-01-16,12850041
762,Medellín,2025-01-16,37082411
763,Cali,2025-01-16,6802334
764,Barranquilla,2025-01-16,14515363
765,Cartagena,2025-01-16,25918259
766,Bucaramanga,2025-01-16,15546611
767,Pereira,2025-01-16,36083418
768,Manizales,2025-01-16,44300103
769,Santa Marta,2025-01-16,9356392
770,Cúcuta,2025-01-16,29707969
771,Bogotá,2025-01-17,14908503
772,Medellín,2025-01-17,28523245
773,Cali,2025-01-17,49675835
774,Barranquilla,2025-01-17,6998598
775,Cartagena,2025-01-17,43127330
776,Bucaramanga,2025-01-17,29716505
777,Pereira,2025-01-17,33104378
778,Manizales,2025-01-17,42539025
779,Santa Marta,2025-01-17,5788721
780,Cúcuta,2025-01-17,23274261
781,Bogotá,2025-01-18,32294643
782,Medellín,2025-01-18,44532257
783,Cali,2025-01-18,13084306
784,Barranquilla,2025-01-18,6870832
785,Cartagena,2025-01-18,22593606
786,Bucaramanga,2025-01-18,48672043
787,Pereira,2025-01-18,10610520
788,Manizales,2025-01-18,23724602
789,Santa Marta,2025-01-18,16780750
790,Cúcuta,2025-01-18,36857398
791,Bogotá,2025-01-19,32965934
792,Medellín,2025-01-19,22711913
793,Cali,2025-01-19,11550175
794,Barranquilla,2025-01-19,32608335
795,Cartagena,2025-01-19,37851156
796,Bucaramanga,2025-01-19,16865729
797,Pereira,2025-01-19,45236378
798,Manizales,2025-01-19,15643196
799,Santa Marta,2025-01-19,29155906
800,Cúcuta,2025-01-19,7166424
801,Bogotá,2025-01-20,44580587
802,Medellín,2025-01-20,19443536
803,Cali,2025-01-20,5604636
804,Barranquilla,2025-01-20,42753460
805,Cartagena,2025-01-20,15655091
806,Bucaramanga,2025-01-20,24752034
807,Pereira,2025-01-20,39947287
808,Manizales,2025-01-20,5024173
809,Santa Marta,2025-01-20,48799225
810,Cúcuta,2025-01-20,45922715
811,Bogotá,2025-01-21,17412338
812,Medellín,2025-01-21,19062552
813,Cali,2025-01-21,32086747
814,Barranquilla,2025-01-21,46206607
815,Cartagena,2025-01-21,40917541
816,Bucaramanga,2025-01-21,47666927
817,Pereira,2025-01-21,24356261
818,Manizales,2025-01-21,22287020
819,Santa Marta,2025-01-21,30641248
820,Cúcuta,2025-01-21,13488283
821,Bogotá,2025-01-22,30542516
822,Medellín,2025-01-22,36029048
823,Cali,2025-01-22,27305597
824,Barranquilla,2025-01-22,22206008
825,Cartagena,2025-01-22,17015419
826,Bucaramanga,2025-01-22,11341565
827,Pereira,2025-01-22,9776536
828,Manizales,2025-01-22,18963889
829,Santa Marta,2025-01-22,12153458
830,Cúcuta,2025-01-22,27998774
831,Bogotá,2025-01-23,33829900
832,Medellín,2025-01-23,25528083
833,Cali,2025-01-23,45078511
834,Barranquilla,2025-01-23,21086189
835,Cartagena,2025-01-23,33158629
836,Bucaramanga,2025-01-23,33815220
837,Pereira,2025-01-23,31929926
838,Manizales,2025-01-23,21209774
839,Santa Marta,2025-01-23,12879924
840,Cúcuta,2025-01-23,25192539
841,Bogotá,2025-01-24,14393807
842,Medellín,2025-01-24,36065460
843,Cali,2025-01-24,42534905
844,Barranquilla,2025-01-24,17449667
845,Cartagena,2025-01-24,33086762
846,Bucaramanga,2025-01-24,10808583
847,Pereira,2025-01-24,37015222
848,Manizales,2025-01-24,12402751
849,Santa Marta,2025-01-24,44490678
850,Cúcuta,2025-01-24,44275444
851,Bogotá,2025-01-25,21562732
852,Medellín,2025-01-25,24402155
853,Cali,2025-01-25,33077773
854,Barranquilla,2025-01-25,8500562
855,Cartagena,2025-01-25,19784186
856,Bucaramanga,2025-01-25,26674633
857,Pereira,2025-01-25,27555696
858,Manizales,2025-01-25,49736043
859,Santa Marta,2025-01-25,37898460
860,Cúcuta,2025-01-25,27452206
861,Bogotá,2025-01-26,30020844
862,Medellín,2025-01-26,22489577
863,Cali,2025-01-26,26954207
864,Barranquilla,2025-01-26,25564644
865,Cartagena,2025-01-26,40337769
866,Bucaramanga,2025-01-26,45571946
867,Pereira,2025-01-26,46306574
868,Manizales,2025-01-26,24630655
869,Santa Marta,2025-01-26,35932713
870,Cúcuta,2025-01-26,5937927
871,Bogotá,2025-01-27,13969381
872,Medellín,2025-01-27,43363213
873,Cali,2025-01-27,24847345
874,Barranquilla,2025-01-27,28782050
875,Cartagena,2025-01-27,30922272
876,Bucaramanga,2025-01-27,27907245
877,Pereira,2025-01-27,34497088
878,Manizales,2025-01-27,23726741
879,Santa Marta,2025-01-27,6402716
880,Cúcuta,2025-01-27,45662424
881,Bogotá,2025-01-28,27764804
882,Medellín,2025-01-28,46439894
883,Cali,2025-01-28,30769584
884,Barranquilla,2025-01-28,22125478
885,Cartagena,2025-01-28,25684301
886,Bucaramanga,2025-01-28,9810865
887,Pereira,2025-01-28,11881989
888,Manizales,2025-01-28,21035713
889,Santa Marta,2025-01-28,42152116
890,Cúcuta,2025-01-28,28849875
891,Bogotá,2025-01-29,22219734
892,Medellín,2025-01-29,36069469
893,Cali,2025-01-29,45108632
894,Barranquilla,2025-01-29,48139802
895,Cartagena,2025-01-29,26263413
896,Bucaramanga,2025-01-29,5264583
897,Pereira,2025-01-29,21134205
898,Manizales,2025-01-29,12670269
899,Santa Marta,2025-01-29,33052138
900,Cúcuta,2025-01-29,21552339
901,Bogotá,2025-01-30,5190886
902,Medellín,2025-01-30,47253034
903,Cali,2025-01-30,25035568
904,Barranquilla,2025-01-30,15855054
905,Cartagena,2025-01-30,47833126
906,Bucaramanga,2025-01-30,43193628
907,Pereira,2025-01-30,29011836
908,Manizales,2025-01-30,36456530
909,Santa Marta,2025-01-30,18664255
910,Cúcuta,2025-01-30,46713991
911,Bogotá,2025-01-31,34407957
912,Medellín,2025-01-31,12537298
913,Cali,2025-01-31,35950700
914,Barranquilla,2025-01-31,42808534
915,Cartagena,2025-01-31,17812873
916,Bucaramanga,2025-01-31,19459202
917,Pereira,2025-01-31,47955996
918,Manizales,2025-01-31,48372053
919,Santa Marta,2025-01-31,13683764
920,Cúcuta,2025-01-31,10315353
921,Bogotá,2025-02-01,21957370
922,Medellín,2025-02-01,21266679
923,Cali,2025-02-01,38854966
924,Barranquilla,2025-02-01,47485871
925,Cartagena,2025-02-01,22655907
926,Bucaramanga,2025-02-01,49835838
927,Pereira,2025-02-01,45372041
928,Manizales,2025-02-01,24606718
929,Santa Marta,2025-02-01,46769953
930,Cúcuta,2025-02-01,40935158
931,Bogotá,2025-02-02,27146075
932,Medellín,2025-02-02,21387992
933,Cali,2025-02-02,26339886
934,Barranquilla,2025-02-02,45911437
935,Cartagena,2025-02-02,29214095
936,Bucaramanga,2025-02-02,44767334
937,Pereira,2025-02-02,31938341
938,Manizales,2025-02-02,25923002
939,Santa Marta,2025-02-02,49403628
940,Cúcuta,2025-02-02,37627123
941,Bogotá,2025-02-03,25825630
942,Medellín,2025-02-03,32764410
943,Cali,2025-02-03,27602113
944,Barranquilla,2025-02-03,8809506
945,Cartagena,2025-02-03,25461125
946,Bucaramanga,2025-02-03,31195009
947,Pereira,2025-02-03,38725336
948,Manizales,2025-02-03,23773524
949,Santa Marta,2025-02-03,26792447
950,Cúcuta,2025-02-03,38909358
951,Bogotá,2025-02-04,32074428
952,Medellín,2025-02-04,21895192
953,Cali,2025-02-04,6175852
954,Barranquilla,2025-02-04,47624745
955,Cartagena,2025-02-04,11163234
956,Bucaramanga,2025-02-04,7523669
957,Pereira,2025-02-04,30037926
958,Manizales,2025-02-04,22288195
959,Santa Marta,2025-02-04,36380788
960,Cúcuta,2025-02-04,42712512
961,Bogotá,2025-02-05,42177431
962,Medellín,2025-02-05,7104662
963,Cali,2025-02-05,24483942
964,Barranquilla,2025-02-05,25269432
965,Cartagena,2025-02-05,13296635
966,Bucaramanga,2025-02-05,38607854
967,Pereira,2025-02-05,48406576
968,Manizales,2025-02-05,29660420
969,Santa Marta,2025-02-05,11917371
970,Cúcuta,2025-02-05,26530223
971,Bogotá,2025-02-06,43873986
972,Medellín,2025-02-06,24257944
973,Cali,2025-02-06,34628644
974,Barranquilla,2025-02-06,32028907
975,Cartagena,2025-02-06,44569806
976,Bucaramanga,2025-02-06,17861744
977,Pereira,2025-02-06,32423936
978,Manizales,2025-02-06,21917841
979,Santa Marta,2025-02-06,25165259
980,Cúcuta,2025-02-06,38973690
981,Bogotá,2025-02-07,11940431
982,Medellín,2025-02-07,13493009
983,Cali,2025-02-07,37483284
984,Barranquilla,2025-02-07,14536395
985,Cartagena,2025-02-07,33535611
986,Bucaramanga,2025-02-07,35831507
987,Pereira,2025-02-07,14186497
988,Manizales,2025-02-07,22207876
989,Santa Marta,2025-02-07,23740746
990,Cúcuta,2025-02-07,11675540
991,Bogotá,2025-02-08,16473274
992,Medellín,2025-02-08,24821219
993,Cali,2025-02-08,7712023
994,Barranquilla,2025-02-08,42434531
995,Cartagena,2025-02-08,17452952
996,Bucaramanga,2025-02-08,29031636
997,Pereira,2025-02-08,42056164
998,Manizales,2025-02-08,18348036
999,Santa Marta,2025-02-08,32413588
1000,Cúcuta,2025-02-08,8443798
1001,Bogotá,2025-02-09,18859424
1002,Medellín,2025-02-09,21067893
1003,Cali,2025-02-09,49207802
1004,Barranquilla,2025-02-09,31652861
1005,Cartagena,2025-02-09,38122405
1006,Bucaramanga,2025-02-09,32439627
1007,Pereira,2025-02-09,25763039
1008,Manizales,2025-02-09,12743644
1009,Santa Marta,2025-02-09,30787773
1010,Cúcuta,2025-02-09,24939736
1011,Bogotá,2025-02-10,9228723
1012,Medellín,2025-02-10,5653020
1013,Cali,2025-02-10,35197859
1014,Barranquilla,2025-02-10,21062594
1015,Cartagena,2025-02-10,5114776
1016,Bucaramanga,2025-02-10,28700020
1017,Pereira,2025-02-10,21113474
1018,Manizales,2025-02-10,17401757
1019,Santa Marta,2025-02-10,5544870
1020,Cúcuta,2025-02-10,42658415
1021,Bogotá,2025-02-11,46680146
1022,Medellín,2025-02-11,33643771
1023,Cali,2025-02-11,44769785
1024,Barranquilla,2025-02-11,34720975
1025,Cartagena,2025-02-11,43413758
1026,Bucaramanga,2025-02-11,29822422
1027,Pereira,2025-02-11,8401635
1028,Manizales,2025-02-11,36558875
1029,Santa Marta,2025-02-11,34911157
1030,Cúcuta,2025-02-11,40148594
1031,Bogotá,2025-02-12,9432031
1032,Medellín,2025-02-12,25717572
1033,Cali,2025-02-12,7301450
1034,Barranquilla,2025-02-12,15004724
1035,Cartagena,2025-02-12,26462241
1036,Bucaramanga,2025-02-12,21610118
1037,Pereira,2025-02-12,30900252
1038,Manizales,2025-02-12,41486946
1039,Santa Marta,2025-02-12,39444409
1040,Cúcuta,2025-02-12,43259078
1041,Bogotá,2025-02-13,5987820
1042,Medellín,2025-02-13,11598353
1043,Cali,2025-02-13,48326948
1044,Barranquilla,2025-02-13,16687098
1045,Cartagena,2025-02-13,12138554
1046,Bucaramanga,2025-02-13,27212632
1047,Pereira,2025-02-13,42462955
1048,Manizales,2025-02-13,7566803
1049,Santa Marta,2025-02-13,19218139
1050,Cúcuta,2025-02-13,12340809
1051,Bogotá,2025-02-14,22712024
1052,Medellín,2025-02-14,41226664
1053,Cali,2025-02-14,47549991
1054,Barranquilla,2025-02-14,9909795
1055,Cartagena,2025-02-14,41077527
1056,Bucaramanga,2025-02-14,16700711
1057,Pereira,2025-02-14,30141132
1058,Manizales,2025-02-14,11550934
1059,Santa Marta,2025-02-14,43709919
1060,Cúcuta,2025-02-14,33916001
1061,Bogotá,2025-02-15,37069396
1062,Medellín,2025-02-15,40305919
1063,Cali,2025-02-15,17269397
1064,Barranquilla,2025-02-15,46738915
1065,Cartagena,2025-02-15,8862731
1066,Bucaramanga,2025-02-15,29789866
1067,Pereira,2025-02-15,13093751
1068,Manizales,2025-02-15,25045076
1069,Santa Marta,2025-02-15,7596657
1070,Cúcuta,2025-02-15,49908381
1071,Bogotá,2025-02-16,33542894
1072,Medellín,2025-02-16,14901908
1073,Cali,2025-02-16,43458923
1074,Barranquilla,2025-02-16,40688039
1075,Cartagena,2025-02-16,23179684
1076,Bucaramanga,2025-02-16,35479528
1077,Pereira,2025-02-16,9461212
1078,Manizales,2025-02-16,10739879
1079,Santa Marta,2025-02-16,26382990
1080,Cúcuta,2025-02-16,23385382
1081,Bogotá,2025-02-17,26778163
1082,Medellín,2025-02-17,44435997
1083,Cali,2025-02-17,40774389
1084,Barranquilla,2025-02-17,19645915
1085,Cartagena,2025-02-17,41254955
1086,Bucaramanga,2025-02-17,16318369
1087,Pereira,2025-02-17,22719242
1088,Manizales,2025-02-17,18030365
1089,Santa Marta,2025-02-17,35210764
1090,Cúcuta,2025-02-17,16744333
1091,Bogotá,2025-02-18,35384474
1092,Medellín,2025-02-18,18202698
1093,Cali,2025-02-18,30586302
1094,Barranquilla,2025-02-18,6910207
1095,Cartagena,2025-02-18,34827158
1096,Bucaramanga,2025-02-18,35859302
1097,Pereira,2025-02-18,13959265
1098,Manizales,2025-02-18,24223902
1099,Santa Marta,2025-02-18,17100456
1100,Cúcuta,2025-02-18,49273936
1101,Bogotá,2025-02-19,15405032
1102,Medellín,2025-02-19,9696061
1103,Cali,2025-02-19,37854527
1104,Barranquilla,2025-02-19,44219868
1105,Cartagena,2025-02-19,14151977
1106,Bucaramanga,2025-02-19,10720475
1107,Pereira,2025-02-19,37870616
1108,Manizales,2025-02-19,14865829
1109,Santa Marta,2025-02-19,45932760
1110,Cúcuta,2025-02-19,32134497
1111,Bogotá,2025-02-20,31764981
1112,Medellín,2025-02-20,23847193
1113,Cali,2025-02-20,29949648
1114,Barranquilla,2025-02-20,46943044
1115,Cartagena,2025-02-20,49439714
1116,Bucaramanga,2025-02-20,6468851
1117,Pereira,2025-02-20,38683018
1118,Manizales,2025-02-20,22685826
1119,Santa Marta,2025-02-20,28939747
1120,Cúcuta,2025-02-20,36562043
1121,Bogotá,2025-02-21,35765044
1122,Medellín,2025-02-21,46182303
1123,Cali,2025-02-21,19259562
1124,Barranquilla,2025-02-21,47691720
1125,Cartagena,2025-02-21,47085470
1126,Bucaramanga,2025-02-21,28603758
1127,Pereira,2025-02-21,6535724
1128,Manizales,2025-02-21,25768040
1129,Santa Marta,2025-02-21,35304084
1130,Cúcuta,2025-02-21,37207539
1131,Bogotá,2025-02-22,33059103
1132,Medellín,2025-02-22,16059743
1133,Cali,2025-02-22,18021174
1134,Barranquilla,2025-02-22,9073391
1135,Cartagena,2025-02-22,43495666
1136,Bucaramanga,2025-02-22,25644025
1137,Pereira,2025-02-22,32949562
1138,Manizales,2025-02-22,46024702
1139,Santa Marta,2025-02-22,18688787
1140,Cúcuta,2025-02-22,31397871
1141,Bogotá,2025-02-23,20530840
1142,Medellín,2025-02-23,29588604
1143,Cali,2025-02-23,24200569
1144,Barranquilla,2025-02-23,5730492
1145,Cartagena,2025-02-23,47558466
1146,Bucaramanga,2025-02-23,21511194
1147,Pereira,2025-02-23,9240734
1148,Manizales,2025-02-23,26015802
1149,Santa Marta,2025-02-23,23636280
1150,Cúcuta,2025-02-23,45196732
1151,Bogotá,2025-02-24,39412540
1152,Medellín,2025-02-24,24112798
1153,Cali,2025-02-24,27250665
1154,Barranquilla,2025-02-24,8203966
1155,Cartagena,2025-02-24,34229816
1156,Bucaramanga,2025-02-24,47080995
1157,Pereira,2025-02-24,30331966
1158,Manizales,2025-02-24,11318723
1159,Santa Marta,2025-02-24,25432282
1160,Cúcuta,2025-02-24,15762436
1161,Bogotá,2025-02-25,36692646
1162,Medellín,2025-02-25,5552034
1163,Cali,2025-02-25,12745200
1164,Barranquilla,2025-02-25,42919923
1165,Cartagena,2025-02-25,45713703
1166,Bucaramanga,2025-02-25,12557891
1167,Pereira,2025-02-25,25475776
1168,Manizales,2025-02-25,9118202
1169,Santa Marta,2025-02-25,5053084
1170,Cúcuta,2025-02-25,29188164
1171,Bogotá,2025-02-26,14949281
1172,Medellín,2025-02-26,49117012
1173,Cali,2025-02-26,38460717
1174,Barranquilla,2025-02-26,39957277
1175,Cartagena,2025-02-26,27127675
1176,Bucaramanga,2025-02-26,43263136
1177,Pereira,2025-02-26,17205688
1178,Manizales,2025-02-26,26976786
1179,Santa Marta,2025-02-26,40157232
1180,Cúcuta,2025-02-26,45023751
1181,Bogotá,2025-02-27,45312712
1182,Medellín,2025-02-27,20429738
1183,Cali,2025-02-27,21029549
1184,Barranquilla,2025-02-27,34679228
1185,Cartagena,2025-02-27,41446313
1186,Bucaramanga,2025-02-27,31287612
1187,Pereira,2025-02-27,33820888
1188,Manizales,2025-02-27,45039226
1189,Santa Marta,2025-02-27,25023374
1190,Cúcuta,2025-02-27,42597698
1191,Bogotá,2025-02-28,47597506
1192,Medellín,2025-02-28,24790151
1193,Cali,2025-02-28,47843623
1194,Barranquilla,2025-02-28,38291195
1195,Cartagena,2025-02-28,47305138
1196,Bucaramanga,2025-02-28,23363237
1197,Pereira,2025-02-28,49183676
1198,Manizales,2025-02-28,27748779
1199,Santa Marta,2025-02-28,40434206
1200,Cúcuta,2025-02-28,20874907
1201,Bogotá,2025-03-01,47638982
1202,Medellín,2025-03-01,47903676
1203,Cali,2025-03-01,34367847
1204,Barranquilla,2025-03-01,19229315
1205,Cartagena,2025-03-01,44818680
1206,Bucaramanga,2025-03-01,14540907
1207,Pereira,2025-03-01,22074856
1208,Manizales,2025-03-01,40650454
1209,Santa Marta,2025-03-01,46229807
1210,Cúcuta,2025-03-01,12967958
1211,Bogotá,2025-03-02,22093835
1212,Medellín,2025-03-02,32346252
1213,Cali,2025-03-02,28207903
1214,Barranquilla,2025-03-02,19266105
1215,Cartagena,2025-03-02,21428050
1216,Bucaramanga,2025-03-02,24139123
1217,Pereira,2025-03-02,41069828
1218,Manizales,2025-03-02,18312705
1219,Santa Marta,2025-03-02,24434285
1220,Cúcuta,2025-03-02,14765021
1221,Bogotá,2025-03-03,40450957
1222,Medellín,2025-03-03,7208131
1223,Cali,2025-03-03,32565282
1224,Barranquilla,2025-03-03,34563156
1225,Cartagena,2025-03-03,22891253
1226,Bucaramanga,2025-03-03,41680625
1227,Pereira,2025-03-03,6173666
1228,Manizales,2025-03-03,30496061
1229,Santa Marta,2025-03-03,36924795
1230,Cúcuta,2025-03-03,40698609
1231,Bogotá,2025-03-04,44620801
1232,Medellín,2025-03-04,20908946
1233,Cali,2025-03-04,18147468
1234,Barranquilla,2025-03-04,10660364
1235,Cartagena,2025-03-04,23366926
1236,Bucaramanga,2025-03-04,36978149
1237,Pereira,2025-03-04,31792976
1238,Manizales,2025-03-04,31361334
1239,Santa Marta,2025-03-04,9864333
1240,Cúcuta,2025-03-04,37125993
1241,Bogotá,2025-03-05,14313218
1242,Medellín,2025-03-05,9797933
1243,Cali,2025-03-05,40345570
1244,Barranquilla,2025-03-05,39089762
1245,Cartagena,2025-03-05,8705735
1246,Bucaramanga,2025-03-05,22784864
1247,Pereira,2025-03-05,31114584
1248,Manizales,2025-03-05,14834439
1249,Santa Marta,2025-03-05,6677688
1250,Cúcuta,2025-03-05,40187087
1251,Bogotá,2025-03-06,15070891
1252,Medellín,2025-03-06,32205898
1253,Cali,2025-03-06,8570493
1254,Barranquilla,2025-03-06,48652575
1255,Cartagena,2025-03-06,36572571
1256,Bucaramanga,2025-03-06,10920331
1257,Pereira,2025-03-06,18582148
1258,Manizales,2025-03-06,7121126
1259,Santa Marta,2025-03-06,6919939
1260,Cúcuta,2025-03-06,5051899
1261,Bogotá,2025-03-07,46766400
1262,Medellín,2025-03-07,38596550
1263,Cali,2025-03-07,14205525
1264,Barranquilla,2025-03-07,16179307
1265,Cartagena,2025-03-07,14344993
1266,Bucaramanga,2025-03-07,38894997
1267,Pereira,2025-03-07,23505181
1268,Manizales,2025-03-07,25980056
1269,Santa Marta,2025-03-07,21325548
1270,Cúcuta,2025-03-07,20035591
1271,Bogotá,2025-03-08,21686976
1272,Medellín,2025-03-08,16691239
1273,Cali,2025-03-08,48054168
1274,Barranquilla,2025-03-08,26356499
1275,Cartagena,2025-03-08,32051013
1276,Bucaramanga,2025-03-08,23164478
1277,Pereira,2025-03-08,37645938
1278,Manizales,2025-03-08,27303048
1279,Santa Marta,2025-03-08,20634664
1280,Cúcuta,2025-03-08,14485846
1281,Bogotá,2025-03-09,13303423
1282,Medellín,2025-03-09,49305789
1283,Cali,2025-03-09,19895978
1284,Barranquilla,2025-03-09,24170503
1285,Cartagena,2025-03-09,19325842
1286,Bucaramanga,2025-03-09,48543974
1287,Pereira,2025-03-09,45964855
1288,Manizales,2025-03-09,15836434
1289,Santa Marta,2025-03-09,31329812
1290,Cúcuta,2025-03-09,26161031
1291,Bogotá,2025-03-10,41483235
1292,Medellín,2025-03-10,23045549
1293,Cali,2025-03-10,25347497
1294,Barranquilla,2025-03-10,28051083
1295,Cartagena,2025-03-10,19438451
1296,Bucaramanga,2025-03-10,7710346
1297,Pereira,2025-03-10,48180263
1298,Manizales,2025-03-10,24979219
1299,Santa Marta,2025-03-10,8519964
1300,Cúcuta,2025-03-10,34158889
1301,Bogotá,2025-03-11,11283545
1302,Medellín,2025-03-11,33571658
1303,Cali,2025-03-11,47513038
1304,Barranquilla,2025-03-11,28520665
1305,Cartagena,2025-03-11,6794507
1306,Bucaramanga,2025-03-11,7598295
1307,Pereira,2025-03-11,25479459
1308,Manizales,2025-03-11,48340447
1309,Santa Marta,2025-03-11,8533076
1310,Cúcuta,2025-03-11,36802746
1311,Bogotá,2025-03-12,48624247
1312,Medellín,2025-03-12,36830684
1313,Cali,2025-03-12,38388804
1314,Barranquilla,2025-03-12,35728620
1315,Cartagena,2025-03-12,7228772
1316,Bucaramanga,2025-03-12,35201739
1317,Pereira,2025-03-12,31606288
1318,Manizales,2025-03-12,20233545
1319,Santa Marta,2025-03-12,21509629
1320,Cúcuta,2025-03-12,31673863
1321,Bogotá,2025-03-13,16952977
1322,Medellín,2025-03-13,5941769
1323,Cali,2025-03-13,27753160
1324,Barranquilla,2025-03-13,40540882
1325,Cartagena,2025-03-13,44769294
1326,Bucaramanga,2025-03-13,47032689
1327,Pereira,2025-03-13,21433285
1328,Manizales,2025-03-13,27244695
1329,Santa Marta,2025-03-13,5948098
1330,Cúcuta,2025-03-13,43030409
1331,Bogotá,2025-03-14,20489536
1332,Medellín,2025-03-14,19160962
1333,Cali,2025-03-14,39875423
1334,Barranquilla,2025-03-14,29138669
1335,Cartagena,2025-03-14,11221036
1336,Bucaramanga,2025-03-14,43216054
1337,Pereira,2025-03-14,26496834
1338,Manizales,2025-03-14,46909306
1339,Santa Marta,2025-03-14,23660721
1340,Cúcuta,2025-03-14,48725724
1341,Bogotá,2025-03-15,15394732
1342,Medellín,2025-03-15,8120812
1343,Cali,2025-03-15,5033578
1344,Barranquilla,2025-03-15,32278960
1345,Cartagena,2025-03-15,39957489
1346,Bucaramanga,2025-03-15,21277317
1347,Pereira,2025-03-15,21351081
1348,Manizales,2025-03-15,38588713
1349,Santa Marta,2025-03-15,36140698
1350,Cúcuta,2025-03-15,36052712
1351,Bogotá,2025-03-16,23715245
1352,Medellín,2025-03-16,45212432
1353,Cali,2025-03-16,14244783
1354,Barranquilla,2025-03-16,42247435
1355,Cartagena,2025-03-16,19157736
1356,Bucaramanga,2025-03-16,28705545
1357,Pereira,2025-03-16,45937328
1358,Manizales,2025-03-16,27133043
1359,Santa Marta,2025-03-16,28143288
1360,Cúcuta,2025-03-16,9936991
1361,Bogotá,2025-03-17,36985568
1362,Medellín,2025-03-17,12630040
1363,Cali,2025-03-17,35523885
1364,Barranquilla,2025-03-17,12124034
1365,Cartagena,2025-03-17,44470228
1366,Bucaramanga,2025-03-17,35698674
1367,Pereira,2025-03-17,41615601
1368,Manizales,2025-03-17,9303992
1369,Santa Marta,2025-03-17,23952848
1370,Cúcuta,2025-03-17,6036053
1371,Bogotá,2025-03-18,25586535
1372,Medellín,2025-03-18,30211547
1373,Cali,2025-03-18,34258578
1374,Barranquilla,2025-03-18,38127939
1375,Cartagena,2025-03-18,11288245
1376,Bucaramanga,2025-03-18,18977860
1377,Pereira,2025-03-18,11960888
1378,Manizales,2025-03-18,21505753
1379,Santa Marta,2025-03-18,16575142
1380,Cúcuta,2025-03-18,35518867
1381,Bogotá,2025-03-19,39411839
1382,Medellín,2025-03-19,27973395
1383,Cali,2025-03-19,24524265
1384,Barranquilla,2025-03-19,36709268
1385,Cartagena,2025-03-19,34661904
1386,Bucaramanga,2025-03-19,18895489
1387,Pereira,2025-03-19,10784322
1388,Manizales,2025-03-19,25035475
1389,Santa Marta,2025-03-19,21017760
1390,Cúcuta,2025-03-19,31448662
1391,Bogotá,2025-03-20,19094373
1392,Medellín,2025-03-20,30899545
1393,Cali,2025-03-20,22769800
1394,Barranquilla,2025-03-20,13818977
1395,Cartagena,2025-03-20,47951061
1396,Bucaramanga,2025-03-20,16837713
1397,Pereira,2025-03-20,18510121
1398,Manizales,2025-03-20,21051028
1399,Santa Marta,2025-03-20,24744708
1400,Cúcuta,2025-03-20,32747140
1401,Bogotá,2025-03-21,43510088
1402,Medellín,2025-03-21,10555038
1403,Cali,2025-03-21,26824888
1404,Barranquilla,2025-03-21,8261600
1405,Cartagena,2025-03-21,41952185
1406,Bucaramanga,2025-03-21,14023427
1407,Pereira,2025-03-21,22555566
1408,Manizales,2025-03-21,46444412
1409,Santa Marta,2025-03-21,19131648
1410,Cúcuta,2025-03-21,40123545
1411,Bogotá,2025-03-22,10767096
1412,Medellín,2025-03-22,34870190
1413,Cali,2025-03-22,29907823
1414,Barranquilla,2025-03-22,22652271
1415,Cartagena,2025-03-22,24003124
1416,Bucaramanga,2025-03-22,45039339
1417,Pereira,2025-03-22,18513547
1418,Manizales,2025-03-22,20528336
1419,Santa Marta,2025-03-22,8284643
1420,Cúcuta,2025-03-22,31108338
1421,Bogotá,2025-03-23,24007423
1422,Medellín,2025-03-23,12396799
1423,Cali,2025-03-23,9803603
1424,Barranquilla,2025-03-23,11422444
1425,Cartagena,2025-03-23,32516739
1426,Bucaramanga,2025-03-23,29137483
1427,Pereira,2025-03-23,34239504
1428,Manizales,2025-03-23,36779723
1429,Santa Marta,2025-03-23,5770287
1430,Cúcuta,2025-03-23,28894903
1431,Bogotá,2025-03-24,20768917
1432,Medellín,2025-03-24,5207419
1433,Cali,2025-03-24,46281971
1434,Barranquilla,2025-03-24,27481383
1435,Cartagena,2025-03-24,21164478
1436,Bucaramanga,2025-03-24,49143879
1437,Pereira,2025-03-24,11476843
1438,Manizales,2025-03-24,10097980
1439,Santa Marta,2025-03-24,18155103
1440,Cúcuta,2025-03-24,18769789
1441,Bogotá,2025-03-25,15622023
1442,Medellín,2025-03-25,18700386
1443,Cali,2025-03-25,18631897
1444,Barranquilla,2025-03-25,7214691
1445,Cartagena,2025-03-25,22936852
1446,Bucaramanga,2025-03-25,11448164
1447,Pereira,2025-03-25,5719088
